absolute_course_url,course_name,subject_name
https://www.class-central.com/course/coursera-the-language-and-tools-of-financial-analysis-3330,The Language and Tools of Financial Analysis,Business
https://www.class-central.com/course/coursera-protecting-business-innovations-via-trademark-10038,Protecting Business Innovations via Trademark,Business
https://www.class-central.com/course/coursera-organizational-analysis-459,Organizational Analysis ,Business
https://www.class-central.com/course/canvas-network-global-human-capital-trends-6532,Global Human Capital Trends,Business
https://www.class-central.com/course/edx-introduction-to-the-music-business-1486,Introduction to the Music Business,Business
https://www.class-central.com/course/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace-2708,Innovation for Entrepreneurs: From Idea to Marketplace,Business
https://www.class-central.com/course/coursera-new-venture-finance-startup-funding-for-entrepreneurs-2709,New Venture Finance: Startup Funding for Entrepreneurs,Business
https://www.class-central.com/course/futurelearn-starting-a-business-1-vision-and-opportunity-5007,Starting a Business 1: Vision and Opportunity,Business
https://www.class-central.com/course/independent-planning-for-monitoring-and-evaluation-11965,Planning for Monitoring and Evaluation,Business
https://www.class-central.com/course/edx-introduction-to-management-accounting-8903,Introduction to Management Accounting,Business
https://www.class-central.com/course/edx-intermediate-management-accounting-8902,Intermediate Management Accounting,Business
https://www.class-central.com/course/coursera-exploring-and-preparing-your-data-with-bigquery-9674,Exploring ​and ​Preparing ​your ​Data with BigQuery,Business
https://www.class-central.com/course/coursera-desarrollo-rapido-de-productos-innovadores-para-mercados-emergentes-734,Desarrollo rápido de productos innovadores para mercados emergentes,Business
https://www.class-central.com/course/coursera----fundamentals-of-corporate-finance-1385,Основы корпоративных финансов (Fundamentals of Corporate Finance),Business
https://www.class-central.com/course/coursera-what-s-your-big-idea-1327,What’s Your Big Idea?,Business
https://www.class-central.com/course/coursera-essentials-of-entrepreneurship-thinking-action-2722,Essentials of Entrepreneurship: Thinking & Action,Business
https://www.class-central.com/course/coursera-giving-sense-to-your-leadership-experience-4347,Giving Sense to Your Leadership Experience,Business
https://www.class-central.com/course/coursera-engagement-nurture-marketing-strategies-4331,Engagement & Nurture Marketing Strategies,Business
https://www.class-central.com/course/coursera-managing-talent-4308,Managing Talent,Business
https://www.class-central.com/course/coursera-leadership-through-design-innovation-4773,Leadership Through Design Innovation,Business
https://www.class-central.com/course/coursera-gestion-de-organizaciones-efectivas-4721,Gestión de organizaciones efectivas,Business
https://www.class-central.com/course/coursera-understanding-the-music-business-what-is-music-worth-4722,Understanding the Music Business: What is Music Worth?,Business
https://www.class-central.com/course/coursera-introduction-to-the-nonprofit-sector-nonprofit-organizations-nonprofit-leadership-and-governance-4608,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",Business
https://www.class-central.com/course/coursera-the-factors-that-influence-the-effectiveness-of-boards-and-the-governance-process-4619,The Factors that Influence the Effectiveness of Boards and the Governance Process,Business
https://www.class-central.com/course/coursera-securing-investment-returns-in-the-long-run-5514,Securing Investment Returns in the Long Run,Business
https://www.class-central.com/course/coursera-------5408,Портфельные инвестиции: активные и пассивные стратегии,Business
https://www.class-central.com/course/coursera---5412,Венчурный капитал,Business
https://www.class-central.com/course/coursera-coaching-conversations-5557,Coaching Conversations,Business
https://www.class-central.com/course/coursera-entrepreneurship-4-financing-and-profitability-5476,Entrepreneurship 4: Financing and Profitability,Business
https://www.class-central.com/course/coursera-search-engine-optimization-fundamentals-5484,Search Engine Optimization Fundamentals,Business
https://www.class-central.com/course/coursera-advanced-search-engine-optimization-strategies-5608,Advanced Search Engine Optimization Strategies,Business
https://www.class-central.com/course/coursera-behavioral-finance-6635,Behavioral Finance,Business
https://www.class-central.com/course/coursera-compra-programatica-de-medios-publicidad-online-en-tiempo-real-7083,Compra programática de medios: Publicidad online en tiempo real,Business
https://www.class-central.com/course/coursera-pilares-de-marketing-digital-7086,Pilares de Marketing Digital,Business
https://www.class-central.com/course/coursera-the-impact-of-technology-7088,The Impact of Technology,Business
https://www.class-central.com/course/coursera-communicating-business-analytics-results-7031,Communicating Business Analytics Results,Business
https://www.class-central.com/course/coursera-trading-algorithms-7032,Trading Algorithms,Business
https://www.class-central.com/course/coursera-business-statistics-and-analysis-capstone-7044,Business Statistics and Analysis Capstone,Business
https://www.class-central.com/course/coursera-introduction-to-social-media-analytics-6916,Introduction to Social Media Analytics,Business
https://www.class-central.com/course/coursera-the-power-of-team-culture-7122,The Power of Team Culture,Business
https://www.class-central.com/course/coursera-toma-de-decisiones-financieras-7138,Toma de Decisiones Financieras ,Business
https://www.class-central.com/course/coursera-autoridad-direccion-y-liderazgo-7144,"Autoridad, dirección y liderazgo",Business
https://www.class-central.com/course/coursera-la-familia-empresaria-individuo-dinamica-y-tiempo-7424,"La familia empresaria: individuo, dinámica y tiempo",Business
https://www.class-central.com/course/coursera-advanced-trading-algorithms-8107,Advanced Trading Algorithms,Business
https://www.class-central.com/course/coursera-strategic-innovation-managing-innovation-initiatives-8490,Strategic Innovation: Managing Innovation Initiatives,Business
https://www.class-central.com/course/coursera-teoria-geral-da-administracao-para-executivos-8232,Teoria Geral da Administração para Executivos,Business
https://www.class-central.com/course/coursera-six-sigma-tools-for-analyze-8872,Six Sigma Tools for Analyze,Business
https://www.class-central.com/course/coursera-entrepreneurship-ii-preparing-for-launch-9196,Entrepreneurship II: Preparing for Launch,Business
https://www.class-central.com/course/coursera-digital-transformation-of-financial-services-capstone-project-9309,Digital Transformation of Financial Services - Capstone Project,Business
https://www.class-central.com/course/coursera-six-sigma-and-the-organization-advanced-9075,Six Sigma and the Organization (Advanced),Business
https://www.class-central.com/course/coursera-from-brand-to-image-creating-high-impact-campaigns-that-tell-brand-stories-9156,From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories,Business
https://www.class-central.com/course/coursera-marketing-internacional-en-asia-9770,Marketing Internacional en Asia,Business
